File_name,Time,Max. Battery Voltage (V),Min. Battery Voltage (V),Charge Amp Hours (Ah),Load Amp Hours (A),Max Load Current (A),Max. PV Current (A),Max. PV Voltage (V),Min. PV Voltage (V),Batt State of Charge (SOC%),Max Battery Temp,Min Battery Temp,Length of Night (h),ALC,Flags
1.cisdl,1,27.3,26.0,6.79,3.96,1.5,6.0,43.0,0.5,100,13,4,14.166666666666666,100,b0
1.cisdl,2,27.5,26.0,22.65,4.04,1.5,7.5,45.5,0.5,100,13,4,14.166666666666666,100,b0
1.cisdl,3,28.5,26.3,9.5,3.31,1.5,6.5,46.0,0.5,100,12,0,13.666666666666666,100,b10
1.cisdl,4,28.5,26.3,4.07,4.11,1.5,5.5,45.5,0.5,100,15,4,14.166666666666666,100,b10
1.cisdl,5,28.5,26.3,4.54,3.55,1.5,7.5,46.5,0.5,100,8,3,13.833333333333334,100,b10
1.cisdl,6,26.8,26.3,1.41,3.63,1.5,1.0,43.5,0.5,100,3,0,14.0,100,b0
1.cisdl,7,28.5,26.2,8.29,3.47,1.5,7.5,46.5,0.5,100,5,-1,14.0,100,b10
1.cisdl,8,28.5,26.3,4.55,3.31,1.5,4.0,45.0,0.5,100,13,1,13.5,100,b10
1.cisdl,9,28.5,26.3,4.79,3.94,1.5,3.5,44.5,0.5,100,12,5,13.833333333333334,100,b10
1.cisdl,10,28.5,26.3,4.720000000000001,3.79,1.5,5.5,44.5,0.5,100,9,2,13.666666666666666,100,b10
1.cisdl,11,26.7,26.3,1.54,3.7800000000000002,1.5,1.0,44.0,0.5,100,2,-4,14.166666666666666,100,b0
1.cisdl,12,28.5,26.1,8.29,3.26,1.5,3.5,47.0,0.5,100,-3,-11,14.0,100,b10
1.cisdl,13,26.7,26.2,0.31,3.4,1.5,0.0,44.0,0.5,100,-1,-9,13.666666666666666,100,b0
1.cisdl,14,26.6,26.0,1.31,3.8200000000000003,1.5,0.0,45.5,0.5,100,-1,-12,14.666666666666666,100,b0
1.cisdl,15,26.6,25.8,1.86,3.1,1.5,0.0,45.0,0.5,100,6,-17,14.0,100,b0
1.cisdl,16,26.400000000000002,25.900000000000002,0.12,3.47,1.5,0.0,45.0,0.5,100,-2,-11,14.333333333333334,100,b0
1.cisdl,17,26.3,25.900000000000002,0.0,4.23,1.5,0.0,39.5,0.5,100,2,-2,15.666666666666666,100,b0
1.cisdl,18,26.1,25.900000000000002,0.01,3.66,1.5,0.0,41.0,0.5,100,4,0,15.5,100,b0
1.cisdl,19,26.2,25.7,0.93,3.08,1.5,0.0,43.5,0.5,100,11,-6,14.5,100,b0
1.cisdl,20,26.3,25.7,0.92,3.44,1.5,0.5,44.0,0.5,100,8,-5,14.333333333333334,100,b0
1.cisdl,21,27.1,25.8,15.809999999999999,3.19,1.5,8.5,45.0,0.5,100,12,3,13.166666666666666,100,b0
1.cisdl,22,27.5,26.0,12.49,3.7199999999999998,1.5,7.0,43.5,0.5,100,10,1,13.166666666666666,100,b0
1.cisdl,23,28.5,26.3,18.650000000000002,3.5300000000000002,1.5,8.5,46.5,0.5,100,6,-1,13.0,100,b10
1.cisdl,24,28.5,26.2,4.7,3.42,1.5,3.5,46.0,0.5,100,8,-4,13.0,100,b10
1.cisdl,25,26.900000000000002,26.3,1.96,3.64,1.5,1.5,43.0,0.5,100,3,0,13.166666666666666,100,b0
1.cisdl,26,26.7,26.3,2.42,3.73,1.5,0.5,43.0,0.5,100,3,-1,13.5,100,b0
1.cisdl,27,28.5,26.2,10.01,3.59,1.5,6.5,46.5,0.5,100,0,-6,13.833333333333334,100,b10
1.cisdl,28,26.900000000000002,25.400000000000002,5.63,2.84,1.5,4.5,44.5,0.5,100,4,-1,14.333333333333334,100,b0
1.cisdl,29,26.5,25.400000000000002,3.08,3.66,1.5,1.5,46.0,0.5,100,4,-3,14.5,100,b0
1.cisdl,30,27.3,25.3,21.8,2.51,1.5,7.0,45.0,0.5,100,12,-5,14.0,100,b0
10.cisdl,1,27.400000000000002,26.3,20.450000000000003,10.46,3.0,9.5,44.0,0.5,100,11,4,13.0,100,b0
10.cisdl,2,28.5,26.400000000000002,26.380000000000003,10.25,3.5,16.0,46.5,0.5,100,10,1,12.833333333333334,100,b10
10.cisdl,3,28.5,26.400000000000002,11.14,10.67,3.5,4.5,46.0,0.5,100,7,-2,12.833333333333334,100,b10
10.cisdl,4,26.900000000000002,26.5,3.9000000000000004,10.91,3.0,3.0,44.0,0.5,100,4,2,13.0,100,b0
10.cisdl,5,26.900000000000002,26.400000000000002,5.69,11.19,3.0,1.5,43.0,0.5,100,4,1,13.333333333333334,100,b0
10.cisdl,6,28.5,26.3,23.18,9.99,3.0,14.0,47.0,0.5,100,5,-3,12.833333333333334,100,b10
10.cisdl,7,27.400000000000002,26.400000000000002,11.02,10.63,3.0,10.5,44.5,0.5,100,6,0,14.166666666666666,100,b0
10.cisdl,8,27.3,26.400000000000002,12.49,11.120000000000001,3.0,6.5,45.5,0.5,100,5,0,14.166666666666666,100,b0
10.cisdl,9,28.5,26.400000000000002,19.090000000000003,10.28,3.5,13.5,46.0,0.5,100,10,-3,13.833333333333334,100,b10
10.cisdl,10,27.5,26.5,11.51,11.22,3.0,11.0,43.0,0.5,100,13,5,14.0,100,b0
10.cisdl,11,28.5,26.5,11.5,10.92,3.5,14.0,45.5,0.5,100,14,7,14.166666666666666,100,b10
10.cisdl,12,28.5,26.5,10.44,9.959999999999999,3.5,9.5,45.5,0.5,100,11,1,13.5,100,b10
