File_name,Time,Max. Battery Voltage (V),Min. Battery Voltage (V),Charge Amp Hours (Ah),Load Amp Hours (A),Max Load Current (A),Max. PV Current (A),Max. PV Voltage (V),Min. PV Voltage (V),Batt State of Charge (SOC%),Max Battery Temp,Min Battery Temp,Length of Night (h),ALC,Flags
1.cisdl,1,28.5,25.7,1.65,1.07,1.5,8.5,47.0,0.5,100,19,-17,13.833333333333334,100,b10
1.cisdl,2,28.1,26.0,1.57,0.95,1.5,8.5,48.0,0.5,100,14,-15,13.333333333333334,100,b10
1.cisdl,3,28.1,26.1,1.44,0.94,1.5,8.0,47.5,0.5,100,17,-13,11.666666666666666,100,b10
1.cisdl,4,28.1,26.3,1.38,0.95,1.5,8.0,46.5,0.5,100,27,-3,10.333333333333334,100,b10
1.cisdl,5,28.1,26.3,1.33,0.96,1.5,7.0,45.0,0.5,100,35,4,9.166666666666666,100,b10
1.cisdl,6,28.1,26.400000000000002,1.3,0.95,1.5,7.0,45.0,0.5,100,40,11,8.5,100,b10
1.cisdl,7,28.5,26.400000000000002,1.28,0.93,1.5,5.5,44.0,0.5,100,37,14,8.833333333333334,100,b10
1.cisdl,8,28.5,26.400000000000002,1.19,0.86,1.5,7.5,44.5,0.5,100,39,14,10.0,100,b10
1.cisdl,9,28.5,26.3,1.23,0.89,1.5,9.5,45.5,0.5,100,38,7,11.333333333333334,100,b10
1.cisdl,10,28.5,26.3,1.31,0.93,1.5,8.5,46.0,0.5,100,30,4,12.833333333333334,100,b10
1.cisdl,11,28.5,25.7,1.26,0.87,1.5,8.0,47.5,0.5,100,19,-6,14.333333333333334,100,b10
1.cisdl,12,28.5,25.7,1.55,0.87,1.5,7.0,47.0,0.5,100,14,-4,15.166666666666666,100,b10
1.cisdl,13,28.5,25.7,1.39,0.74,1.5,6.5,48.5,0.5,100,10,-15,14.666666666666666,100,b10
1.cisdl,14,28.5,21.700000000000003,1.03,0.59,1.5,9.0,47.0,0.5,73,21,-15,13.333333333333334,93,b11
1.cisdl,15,28.5,26.3,1.28,0.95,1.5,8.0,47.0,0.5,100,30,0,10.333333333333334,100,b10
1.cisdl,16,28.5,26.3,1.21,0.95,1.5,7.0,45.5,0.5,100,36,5,9.166666666666666,100,b10
1.cisdl,17,28.5,26.400000000000002,1.19,0.93,1.5,6.5,45.0,0.5,100,33,10,8.5,100,b10
1.cisdl,18,28.5,26.400000000000002,1.2,0.95,2.0,7.5,44.0,0.5,100,39,14,8.833333333333334,100,b10011
1.cisdl,19,28.5,26.400000000000002,1.25,1.0,1.5,7.5,44.5,0.5,100,37,15,10.0,100,b10
1.cisdl,20,28.5,26.3,1.3,1.05,1.5,7.0,46.0,0.5,100,37,8,11.333333333333334,100,b10011
1.cisdl,21,28.5,26.3,1.36,1.06,1.5,8.5,47.5,0.5,100,25,2,12.833333333333334,100,b10
1.cisdl,22,28.5,26.2,1.35,1.07,1.5,8.5,46.5,0.5,40,25,-3,14.0,100,b10
1.cisdl,23,28.5,26.0,1.3,1.21,1.5,7.0,48.0,0.5,100,20,-3,14.833333333333334,100,b10
1.cisdl,24,28.5,25.2,1.37,1.05,1.5,7.0,48.5,0.5,100,12,-10,14.833333333333334,100,b10
17.cisdl,1,32.2,26.1,1.08,0.29,2.5,9.0,57.5,0.5,33,40,-6,10.666666666666666,93,b10
17.cisdl,2,28.5,26.5,1.24,1.0,1.5,9.0,46.0,0.5,100,35,11,11.5,100,b10
17.cisdl,3,28.5,26.5,1.31,1.09,1.5,8.5,46.5,0.5,100,28,5,13.166666666666666,100,b10
17.cisdl,4,28.5,26.1,1.29,1.18,1.5,8.5,48.0,0.5,100,25,-2,14.5,100,b10
17.cisdl,5,28.5,26.1,1.37,1.2,1.5,7.5,48.0,0.5,100,16,-4,15.166666666666666,100,b10
17.cisdl,6,28.5,26.3,1.22,1.19,1.5,8.0,49.5,0.5,100,11,-11,14.666666666666666,100,b10
17.cisdl,7,27.5,11.5,0.58,0.51,1.5,8.5,47.5,0.0,47,8,-11,13.5,73,b10011
17.cisdl,8,28.5,26.2,1.52,1.03,1.5,9.0,47.0,0.5,100,20,-7,11.833333333333334,100,b10
17.cisdl,9,28.5,26.5,1.22,0.91,2.5,7.5,47.0,0.5,100,28,4,10.5,100,b10011
17.cisdl,10,28.5,26.7,0.37,0.0,2.0,1.0,46.0,0.5,100,37,9,9.333333333333334,100,b10
17.cisdl,11,28.5,26.7,0.37,0.0,2.0,0.5,45.0,0.5,100,34,15,8.666666666666666,100,b10
17.cisdl,12,28.5,26.8,0.37,0.0,2.0,1.0,44.0,0.5,100,39,18,9.0,100,b10
17.cisdl,13,28.5,26.7,0.37,0.0,1.5,1.0,44.5,0.5,100,39,18,10.166666666666666,100,b10
17.cisdl,14,28.5,26.7,0.37,0.0,1.5,1.0,46.0,0.5,100,38,12,11.5,100,b10
17.cisdl,15,28.6,26.6,0.36,0.0,1.5,2.0,47.0,0.5,100,27,4,12.833333333333334,100,b10011
17.cisdl,16,28.5,26.6,0.35,0.0,1.5,6.0,47.5,0.5,100,23,0,14.166666666666666,100,b10011
17.cisdl,17,28.5,26.6,0.37,0.0,1.5,3.5,48.0,0.5,100,20,0,15.0,100,b10
17.cisdl,18,28.5,26.6,0.3,0.0,1.5,3.0,48.5,0.5,40,11,-9,14.666666666666666,100,b10
17.cisdl,19,28.5,26.5,0.29,0.0,1.5,3.0,48.5,0.5,100,22,-18,13.666666666666666,100,b10
4.cisdl,1,28.200000000000003,25.6,3.29,3.51,3.5,12.5,48.5,0.0,40,11,-15,14.333333333333334,100,b10
4.cisdl,2,28.200000000000003,25.7,3.47,3.41,3.5,16.5,48.0,0.5,100,10,-16,13.166666666666666,100,b10
4.cisdl,3,28.700000000000003,25.1,3.26,3.18,3.5,12.5,48.5,0.5,100,25,-14,11.833333333333334,100,b10
4.cisdl,4,28.400000000000002,25.2,3.24,2.92,3.5,14.0,46.5,0.5,100,31,-4,10.333333333333334,100,b10
4.cisdl,5,31.0,12.6,2.08,1.98,4.5,11.0,44.5,0.0,13,39,3,10.333333333333334,80,b10011
4.cisdl,6,28.5,26.5,2.97,3.1,3.5,17.0,46.0,0.5,100,28,6,11.666666666666666,100,b10011
4.cisdl,7,28.5,26.400000000000002,3.14,3.3,3.5,17.5,47.5,0.5,100,23,2,13.333333333333334,100,b10011
4.cisdl,8,28.5,26.3,2.99,3.47,3.5,13.5,47.0,0.5,100,16,-5,14.5,100,b10
4.cisdl,9,28.5,25.6,3.15,3.5700000000000003,3.5,13.5,48.5,0.5,100,10,-9,15.0,100,b10011
4.cisdl,10,28.5,25.8,2.58,3.67,3.5,15.5,49.5,0.5,100,3,-12,14.333333333333334,100,b10011
4.cisdl,11,28.5,23.700000000000003,3.6100000000000003,3.17,3.5,14.5,47.5,0.5,93,0,-14,13.166666666666666,100,b10
4.cisdl,12,28.5,26.3,3.0700000000000003,3.1100000000000003,3.5,17.5,47.0,0.5,100,13,-6,11.666666666666666,100,b10011
4.cisdl,13,28.5,26.400000000000002,2.88,2.91,3.5,16.0,47.0,0.5,100,25,1,10.166666666666666,100,b10011
4.cisdl,14,28.5,26.5,2.8,2.75,3.5,9.5,46.0,0.5,100,32,7,9.0,100,b10011
4.cisdl,15,28.5,26.5,2.79,2.71,3.5,11.5,45.0,0.5,100,32,14,8.5,100,b10011
4.cisdl,16,28.5,26.5,2.86,2.75,3.5,10.0,44.0,0.5,100,38,17,8.833333333333334,100,b10
4.cisdl,17,28.5,26.5,3.0100000000000002,2.9,3.5,12.5,44.5,0.5,100,35,16,10.0,100,b10
4.cisdl,18,28.5,26.400000000000002,3.13,3.05,3.5,11.5,45.5,0.5,100,35,10,11.5,100,b10
4.cisdl,19,28.5,26.3,3.0700000000000003,3.25,3.5,16.5,47.0,0.5,100,23,3,13.0,100,b10
