Name,Time,Max. Battery Voltage (V),Min. Battery Voltage (V),Charge Amp Hours (Ah),Load Amp Hours (A),Max Load Current (A),Max. PV Current (A),Max. PV Voltage (V),Min. PV Voltage (V),Batt State of Charge (SOC%),Max Battery Temp,Min Battery Temp,Length of Night (h),ALC,Flags
1,1,27.3,26,6.79,3.96,1.5,6,43,0.5,100,13,4,14.16666667,100,b0
1,2,27.5,26,22.65,4.04,1.5,7.5,45.5,0.5,100,13,4,14.16666667,100,b0
1,3,28.5,26.3,9.5,3.31,1.5,6.5,46,0.5,100,12,0,13.66666667,100,b10
1,4,28.5,26.3,4.07,4.11,1.5,5.5,45.5,0.5,100,15,4,14.16666667,100,b10
1,5,28.5,26.3,4.54,3.55,1.5,7.5,46.5,0.5,100,8,3,13.83333333,100,b10
1,6,26.8,26.3,1.41,3.63,1.5,1,43.5,0.5,100,3,0,14,100,b0
1,7,28.5,26.2,8.29,3.47,1.5,7.5,46.5,0.5,100,5,-1,14,100,b10
1,8,28.5,26.3,4.55,3.31,1.5,4,45,0.5,100,13,1,13.5,100,b10
1,9,28.5,26.3,4.79,3.94,1.5,3.5,44.5,0.5,100,12,5,13.83333333,100,b10
1,10,28.5,26.3,4.72,3.79,1.5,5.5,44.5,0.5,100,9,2,13.66666667,100,b10
1,11,26.7,26.3,1.54,3.78,1.5,1,44,0.5,100,2,-4,14.16666667,100,b0
1,12,28.5,26.1,8.29,3.26,1.5,3.5,47,0.5,100,-3,-11,14,100,b10
1,13,26.7,26.2,0.31,3.4,1.5,0,44,0.5,100,-1,-9,13.66666667,100,b0
1,14,26.6,26,1.31,3.82,1.5,0,45.5,0.5,100,-1,-12,14.66666667,100,b0
1,15,26.6,25.8,1.86,3.1,1.5,0,45,0.5,100,6,-17,14,100,b0
1,16,26.4,25.9,0.12,3.47,1.5,0,45,0.5,100,-2,-11,14.33333333,100,b0
1,17,26.3,25.9,0,4.23,1.5,0,39.5,0.5,100,2,-2,15.66666667,100,b0
1,18,26.1,25.9,0.01,3.66,1.5,0,41,0.5,100,4,0,15.5,100,b0
