File_name,Time,Max. Battery Voltage (V),Min. Battery Voltage (V),Charge Amp Hours (Ah),Load Amp Hours (A),Max Load Current (A),Max. PV Current (A),Max. PV Voltage (V),Min. PV Voltage (V),Batt State of Charge (SOC%),Max Battery Temp,Min Battery Temp,Length of Night (h),ALC,Flags
1.cisdl,1,28.200000000000003,25.8,1.43,1.02,1.5,7.0,47.5,0.0,40,11,-14,14.5,100,b10
1.cisdl,2,28.1,26.0,1.57,0.95,1.5,8.5,48.0,0.5,100,14,-15,13.333333333333334,100,b10
1.cisdl,3,28.1,26.1,1.44,0.94,1.5,8.0,47.5,0.5,100,17,-13,11.666666666666666,100,b10
1.cisdl,4,28.1,26.3,1.38,0.95,1.5,8.0,46.5,0.5,100,27,-3,10.333333333333334,100,b10
1.cisdl,5,28.1,26.3,1.33,0.96,1.5,7.0,45.0,0.5,100,35,4,9.166666666666666,100,b10
1.cisdl,6,28.1,26.400000000000002,1.3,0.95,1.5,7.0,45.0,0.5,100,40,11,8.5,100,b10
1.cisdl,7,28.5,26.400000000000002,1.28,0.93,1.5,5.5,44.0,0.5,100,37,14,8.833333333333334,100,b10
1.cisdl,8,28.5,26.400000000000002,1.19,0.86,1.5,7.5,44.5,0.5,100,39,14,10.0,100,b10
1.cisdl,9,28.5,26.3,1.23,0.89,1.5,9.5,45.5,0.5,100,38,7,11.333333333333334,100,b10
1.cisdl,10,28.5,26.3,1.31,0.93,1.5,8.5,46.0,0.5,100,30,4,12.833333333333334,100,b10
1.cisdl,11,28.5,25.7,1.26,0.87,1.5,8.0,47.5,0.5,100,19,-6,14.333333333333334,100,b10
1.cisdl,12,28.5,25.7,1.55,0.87,1.5,7.0,47.0,0.5,100,14,-4,15.166666666666666,100,b10
1.cisdl,13,28.5,25.7,1.39,0.74,1.5,6.5,48.5,0.5,100,10,-15,14.666666666666666,100,b10
1.cisdl,14,28.5,21.700000000000003,1.03,0.59,1.5,9.0,47.0,0.5,73,21,-15,13.333333333333334,93,b11
1.cisdl,15,28.5,26.3,1.28,0.95,1.5,8.0,47.0,0.5,100,30,0,10.333333333333334,100,b10
1.cisdl,16,28.5,26.3,1.21,0.95,1.5,7.0,45.5,0.5,100,36,5,9.166666666666666,100,b10
1.cisdl,17,28.5,26.400000000000002,1.19,0.93,1.5,6.5,45.0,0.5,100,33,10,8.5,100,b10
1.cisdl,18,28.5,26.400000000000002,1.2,0.95,2.0,7.5,44.0,0.5,100,39,14,8.833333333333334,100,b10011
1.cisdl,19,28.5,26.400000000000002,1.25,1.0,1.5,7.5,44.5,0.5,100,37,15,10.0,100,b10
1.cisdl,20,28.5,26.3,1.3,1.05,1.5,7.0,46.0,0.5,100,37,8,11.333333333333334,100,b10011
1.cisdl,21,28.5,26.3,1.36,1.06,1.5,8.5,47.5,0.5,100,25,2,12.833333333333334,100,b10
1.cisdl,22,28.5,26.2,1.35,1.07,1.5,8.5,46.5,0.5,40,25,-3,14.0,100,b10
1.cisdl,23,28.5,26.0,1.3,1.21,1.5,7.0,48.0,0.5,100,20,-3,14.833333333333334,100,b10
1.cisdl,24,28.5,25.2,1.37,1.05,1.5,7.0,48.5,0.5,100,12,-10,14.833333333333334,100,b10
10.cisdl,1,28.200000000000003,25.900000000000002,3.46,3.06,3.0,12.5,49.0,0.0,40,10,-15,14.166666666666666,100,b10
10.cisdl,2,28.1,25.900000000000002,3.6,2.95,3.5,17.0,48.0,0.5,100,10,-15,13.0,100,b10
10.cisdl,3,28.1,26.2,3.17,2.79,3.5,13.5,48.5,0.5,100,24,-13,11.666666666666666,100,b10
10.cisdl,4,28.1,26.400000000000002,3.0700000000000003,2.62,3.5,14.5,46.0,0.5,100,31,-4,10.166666666666666,100,b10
10.cisdl,5,28.1,26.0,3.3600000000000003,2.5,3.5,10.5,45.0,0.5,100,39,4,9.0,100,b10
10.cisdl,6,28.5,9.3,2.69,1.57,3.5,13.5,45.0,0.0,7,39,12,10.0,67,b11
10.cisdl,7,28.5,26.5,3.0300000000000002,2.9,3.5,17.0,45.5,0.5,100,37,10,11.166666666666666,100,b10011
10.cisdl,8,28.5,26.5,3.23,3.1,3.5,17.5,46.5,0.5,100,31,7,12.666666666666666,100,b10
10.cisdl,9,28.5,26.1,3.21,3.33,3.5,16.0,47.0,0.5,100,22,-3,14.0,100,b10
10.cisdl,10,28.5,25.400000000000002,3.68,3.4,3.5,14.5,46.0,0.5,100,18,-2,14.833333333333334,100,b10
10.cisdl,11,28.5,26.0,3.43,3.44,3.5,16.0,50.0,0.5,100,14,-12,14.5,100,b10
10.cisdl,12,28.5,22.4,1.91,2.87,3.0,8.0,47.0,0.5,80,3,-16,13.666666666666666,100,b11
10.cisdl,13,28.5,25.3,3.9699999999999998,3.09,3.5,15.0,47.0,0.5,100,18,-11,12.0,100,b10
10.cisdl,14,28.5,26.3,3.06,2.89,3.5,18.5,47.0,0.5,100,27,-4,10.666666666666666,100,b10
10.cisdl,15,28.5,26.5,2.84,2.67,3.5,10.0,45.5,0.5,100,38,7,9.166666666666666,100,b10011
10.cisdl,16,28.5,26.5,2.74,2.58,3.5,12.0,44.5,0.5,100,35,10,8.5,100,b10
10.cisdl,17,28.5,26.5,2.77,2.6,3.5,11.0,45.0,0.5,100,39,16,8.666666666666666,100,b10011
10.cisdl,18,28.5,26.5,2.87,2.7,3.5,11.0,44.5,0.5,100,41,19,9.5,100,b10011
10.cisdl,19,28.5,26.5,3.0,2.85,3.5,11.0,44.5,0.5,100,39,13,10.833333333333334,100,b10
