Date,TemperatureHighF ,TemperatureAvgF,TemperatureLowF,DewpointHighF,DewpointAvgF,DewpointLowF,HumidityHigh,HumidityAvg,HumidityLow,PressureMaxIn,PressureMinIn,WindSpeedMaxMPH,WindSpeedAvgMPH,GustSpeedMaxMPH,PrecipitationSumIn
2015-3-9,43.9,34.8,27.5,31.9,29.1,26.3,98,81,58,30.15,29.97,11,4,0,0.00 
2015-3-10,51.4,37.3,22.1,40.7,31.9,21.9,99,83,58,30.14,29.85,5,2,0,0.00 
2015-3-11,41.7,36.9,31.8,41.4,35.5,29.5,99,95,83,30.23,29.86,9,5,0,0.00 
2015-3-12,43.2,34.0,23.2,29.3,17.7,7.7,95,55,24,30.57,30.24,7,2,0,0.00 
2015-3-13,57.6,39.3,23.5,30.3,19.6,10.1,68,47,28,30.53,30.02,8,2,0,0.00 
2015-3-14,46.8,41.8,36.7,45.7,38.9,31.1,99,90,56,30.02,29.64,9,4,0,0.01 
2015-3-15,41.7,35.4,30.7,33.2,30.8,28.9,98,84,67,30.08,29.75,16,6,0,0.00 
2015-3-16,48.2,38.8,30.7,39.6,34.8,29.4,99,86,70,30.04,29.64,10,4,0,0.08 
2015-3-17,40.3,36.4,28.0,40.0,26.5,11.4,99,71,33,30.05,29.56,18,6,0,0.01 
2015-3-18,38.1,29.6,21.4,22.1,15.1,7.1,73,55,35,30.17,30.05,14,7,0,0.00 
2015-3-19,42.6,28.2,12.9,20.0,14.5,11.2,99,61,31,30.32,30.18,6,2,0,0.00 
2015-3-20,48.2,37.2,28.2,36.9,27.5,12.4,86,68,51,30.18,29.95,7,3,0,0.00 
2015-3-21,44.6,37.2,27.5,38.1,31.0,14.5,98,80,51,30.03,29.80,12,6,0,0.03 
2015-3-22,30.6,24.7,19.8,19.6,14.0,8.4,95,64,40,30.22,30.03,11,6,0,0.00 
2015-3-23,30.9,22.9,16.9,16.1,8.5,1.9,85,55,36,30.32,30.18,10,4,0,0.00 
2015-3-24,43.9,27.1,11.8,22.1,14.9,7.1,93,63,38,30.32,30.23,10,2,0,0.00 
2015-3-25,46.8,36.2,20.8,45.0,31.8,19.4,99,85,52,30.24,29.79,13,4,0,0.11 
2015-3-26,41.2,36.8,34.3,40.9,36.2,34.0,99,98,89,29.88,29.70,6,2,0,0.47 
2015-3-27,34.3,29.1,20.5,34.0,26.2,17.7,99,89,77,29.96,29.73,10,4,0,0.00 
2015-3-28,33.1,23.3,16.3,19.2,13.3,6.8,99,69,36,30.19,29.95,13,5,0,0.00 
2015-3-29,43.0,30.7,16.0,28.3,18.9,13.3,94,65,37,30.24,29.75,14,4,0,0.00 
2015-3-30,45.1,38.0,32.2,37.5,32.6,25.8,99,82,64,29.80,29.56,14,7,0,0.17 
2015-3-31,45.5,35.3,25.3,31.6,27.9,23.3,95,75,47,29.84,29.66,7,2,0,0.00 
2015-4-1,51.1,37.3,22.3,32.1,24.9,12.2,97,66,24,30.05,29.84,7,2,0,0.00 
2015-4-2,70.5,52.5,31.1,54.8,40.4,29.6,99,70,25,29.98,29.52,14,5,0,0.29 
2015-4-3,55.2,47.0,39.9,52.2,45.5,39.6,99,95,78,29.74,29.62,7,4,0,0.20 
2015-4-4,43.2,36.4,32.4,39.6,29.7,21.2,99,78,49,30.00,29.65,15,6,0,0.05 
2015-4-5,38.5,34.2,29.8,34.0,31.3,27.6,99,89,79,30.09,30.00,4,1,0,0.03 
2015-4-6,63.0,44.0,34.3,43.8,36.3,32.7,99,78,34,30.10,29.94,10,3,0,0.00 
2015-4-7,48.2,40.4,35.4,37.2,30.7,23.0,94,70,46,30.18,30.04,10,5,0,0.00 
2015-4-8,45.1,39.3,33.6,44.8,37.5,22.7,99,94,52,30.16,29.83,10,4,0,0.48 
2015-4-9,66.2,49.3,36.9,58.8,47.1,36.6,99,93,75,29.98,29.57,10,3,0,0.10 
2015-4-10,67.1,51.5,38.8,60.0,47.4,37.2,99,86,68,29.71,29.35,23,9,0,0.23 
2015-4-11,50.5,41.6,36.9,38.9,34.5,29.8,90,76,59,30.10,29.72,14,6,0,0.01 
2015-4-12,68.2,49.7,30.7,41.4,35.7,29.5,99,63,35,30.16,30.04,9,2,0,0.00 
2015-4-13,80.6,60.6,41.9,61.6,46.6,34.2,99,64,32,30.04,29.67,18,5,0,0.25 
2015-4-14,64.9,50.2,36.1,44.1,37.1,25.6,99,66,23,30.12,29.99,9,2,0,0.00 
2015-4-15,65.8,48.8,30.0,36.7,31.6,27.1,99,58,25,30.27,30.11,9,2,0,0.00 
2015-4-16,75.0,51.4,32.2,50.8,36.8,27.9,98,66,23,30.27,29.94,7,2,0,0.04 
2015-4-17,62.8,53.4,43.0,55.0,50.2,42.5,99,90,67,29.94,29.84,7,4,0,0.19 
2015-4-18,72.3,55.9,39.7,52.4,39.1,26.8,99,61,23,30.04,29.84,17,4,0,0.00 
2015-4-19,65.3,52.2,39.6,47.8,36.8,29.1,89,57,39,30.10,29.62,14,6,0,0.05 
2015-4-20,70.2,55.8,44.6,58.9,51.1,42.4,96,85,64,29.61,29.23,18,8,0,0.39 
2015-4-21,55.9,47.7,41.5,42.7,37.6,32.9,98,70,43,29.54,29.41,24,8,0,0.01 
2015-4-22,50.2,42.6,34.7,38.1,34.6,30.9,98,75,51,29.60,29.45,19,7,0,0.02 
2015-4-23,38.3,34.8,32.4,33.3,27.1,23.6,99,74,56,29.81,29.57,12,6,0,0.00 
2015-4-24,45.7,37.0,30.6,31.6,26.4,22.0,85,67,46,29.89,29.81,14,5,0,0.00 
2015-4-25,55.9,40.5,23.0,32.6,28.4,22.8,99,66,40,29.89,29.65,10,2,0,0.00 
2015-4-26,59.7,44.1,28.9,39.3,34.2,28.2,99,71,44,29.72,29.64,10,3,0,0.00 
2015-4-27,51.1,44.3,40.6,41.9,39.5,35.6,99,84,70,29.85,29.65,8,4,0,0.01 
2015-4-28,57.4,47.1,36.9,45.3,40.8,35.9,99,80,61,29.90,29.76,11,4,0,0.00 
2015-4-29,65.5,51.0,39.0,48.4,42.5,38.7,99,75,47,29.76,29.60,8,3,0,0.00 
2015-4-30,74.7,57.3,40.3,50.7,44.5,39.3,99,66,37,29.78,29.59,15,2,0,0.00 
2015-5-1,75.4,57.2,38.3,47.3,43.6,38.0,99,66,35,29.88,29.78,10,3,0,0.00 
2015-5-2,73.2,56.7,39.9,48.7,42.8,37.7,99,64,37,29.93,29.84,8,2,0,0.00 
2015-5-3,75.6,60.3,41.2,49.2,43.8,38.7,95,58,37,29.94,29.86,11,3,0,0.00 
2015-5-4,82.9,63.2,50.5,57.5,49.9,43.2,97,65,37,30.03,29.88,18,4,0,0.00 
2015-5-5,72.1,58.6,43.9,57.7,53.2,43.6,99,84,52,30.15,30.04,6,1,0,0.05 
2015-5-6,80.8,64.4,54.0,56.0,51.4,44.3,99,67,38,30.15,29.99,10,3,0,0.00 
2015-5-7,86.0,67.4,48.2,61.1,55.0,45.1,99,69,38,30.06,29.89,7,2,0,0.00 
2015-5-8,92.5,73.5,52.7,62.2,58.8,52.4,99,66,35,29.93,29.80,8,2,0,0.00 
2015-5-9,93.7,77.4,59.2,65.0,62.1,58.9,99,64,38,29.95,29.84,12,3,0,0.00 
2015-5-10,85.1,74.5,65.8,71.8,65.8,62.5,93,76,55,29.98,29.84,8,2,0,0.04 
2015-5-11,86.9,74.6,63.5,69.9,66.4,63.2,99,78,56,29.88,29.60,9,2,0,0.63 
2015-5-12,66.7,59.2,51.3,66.4,53.0,46.3,99,81,59,29.89,29.61,19,6,0,0.02 
2015-5-13,57.0,48.8,39.9,47.8,42.6,39.6,99,80,56,30.26,29.89,17,4,0,0.00 
2015-5-14,71.4,52.9,32.9,43.5,38.5,32.7,99,65,27,30.35,30.12,7,2,0,0.00 
2015-5-15,70.5,60.5,46.9,61.2,49.6,38.4,99,69,43,30.11,29.86,7,2,0,0.06 
2015-5-16,74.5,65.1,56.3,67.2,62.1,56.0,99,90,70,30.02,29.86,6,2,0,0.00 
2015-5-17,91.6,71.7,58.6,67.8,62.3,56.6,99,75,44,30.06,29.91,5,2,0,0.00 
2015-5-18,84.0,72.2,62.1,73.6,67.7,61.4,99,87,67,29.93,29.77,10,2,0,0.01 
2015-5-19,70.2,62.7,49.1,67.9,56.3,41.5,99,81,59,29.89,29.73,12,4,0,0.00 
2015-5-20,58.8,50.2,40.8,42.6,37.4,34.1,79,62,41,30.00,29.87,16,4,0,0.00 
2015-5-21,67.6,56.6,46.0,43.5,39.4,34.7,88,55,35,29.88,29.74,10,3,0,0.00 
2015-5-22,64.8,52.6,38.1,45.3,40.2,31.9,85,64,34,30.17,29.75,10,3,0,0.00 
2015-5-23,66.7,50.8,30.0,39.3,33.7,29.4,99,58,27,30.31,30.13,8,2,0,0.00 
2015-5-24,80.8,63.8,42.1,53.5,46.1,34.4,78,55,38,30.17,30.01,7,2,0,0.00 
2015-5-25,84.2,71.3,60.4,68.8,61.4,53.8,93,73,46,30.00,29.81,10,2,0,0.00 
